Ticker,Name der Anteilklasse,ISIN,Fondsvermögen,UCITS,Domizil,TER (%),Laufende Gebühren (%),Auflagedatum,Anlageklasse,Unteranlageklasse,Region,Währung der Anteilsklasse,Markt,Strategie,Standort,Anteils- klasse,Anteile im Umlauf,für ISA zugelassen,Produktmethodik,Emittent,Ertrags- verwendung,Referenzindex,NAV,Per,Benchmark-Wert,für SIPP verfügbar,UK-Distributor /Reporting-Status,Risk Indicator,Geldkurs,Per,Briefkurs,Per,AUM (Mio.),UCITS,Anlageansatz,Diskrete Rendite,,,,,,Annualisiert,,,,,,,Kumulativ,,,,,,,Merkmale,,,,,,Kalenderjahr,,,,,,Merkmale,,,,,,,Nachhaltigkeitsmerkmale (MSCI),,,
EUNT,iShares € Corp Bond 1-5yr UCITS ETF EUR (Dist),IE00B4L60045,"3.822.194.997,84",Ja,Irland,"0,20",-,25.Sep.2009,Anleihen,Unternehmensanleihen,Europa,EUR,Industrieländer,-,Weitere,- ,"34.212.021,00",Ja,Sampling,iShares III plc,ausschüttend,Bloomberg Barclays Euro Corporate 1-5 Year Bond Index,"111,72",17.Nov.2020,"227,11",Ja,Ja/Ja,2.00,-,17.Nov.2020,-,17.Nov.2020,"3.822,19",Y,Index Fonds,30.Sep.2020,"3,20","0,82","-0,10","2,27","-0,12",31.Oct.2020,"0,33","1,30","0,65","1,14","2,24","2,57",31.Oct.2020,"0,39","2,78","1,97","5,83","24,85","32,53","0,59","2,99","1,56","2,90","0,20","3,42","0,34","2,34","0,96","-0,66","2,61",31.Dec.2019,iShares € Corp Bond 1-5yr UCITS ETF EUR (Dist),"10,43","0,84","0,08","2,99","2,90","0,00",A,"6,91","132,63",-
EUNR,iShares € Corp Bond ex-Financials UCITS ETF EUR (Dist),IE00B4L5ZG21,"1.831.303.397,43",Ja,Irland,"0,20",-,25.Sep.2009,Anleihen,Unternehmensanleihen,Europa,EUR,Industrieländer,-,Weitere,- ,"14.969.262,00",Ja,Sampling,iShares III plc,ausschüttend,Bloomberg Barclays Euro Corporate ex-Financials Bond Index,"122,34",17.Nov.2020,"248,66",Ja,Ja/Ja,3.00,-,17.Nov.2020,-,17.Nov.2020,"1.831,30",Y,Index Fonds,30.Sep.2020,"8,31","-0,53","-0,08","6,19","0,23",31.Oct.2020,"1,48","3,79","2,01","2,65","3,53","3,90",31.Oct.2020,"1,87","4,45","6,14","13,99","41,46","52,81","0,88","6,19","1,57","5,79","0,27","2,96","-1,39","5,31","1,72","-1,25","6,20",31.Dec.2019,iShares € Corp Bond ex-Financials UCITS ETF EUR (Dist),"15,17","1,43","0,22","6,19","5,79","0,00",A,"6,48","214,26",-
EUNS,iShares € Corp Bond ex-Financials 1-5yr UCITS ETF EUR (Dist),IE00B4L5ZY03,"1.628.900.771,37",Ja,Irland,"0,20",-,25.Sep.2009,Anleihen,Unternehmensanleihen,Europa,EUR,Industrieländer,-,Weitere,- ,"14.647.524,00",Ja,Sampling,iShares III plc,ausschüttend,Bloomberg Barclays Euro Corporate ex Financials 1-5 Year Bond Index,"111,21",17.Nov.2020,"205,28",Ja,Ja/Ja,2.00,-,17.Nov.2020,-,17.Nov.2020,"1.694,75",Y,Index Fonds,30.Sep.2020,"3,54","0,52","-0,06","1,97","-0,22",31.Oct.2020,"0,35","1,15","0,54","1,07","2,05","2,38",31.Oct.2020,"0,38","2,71","1,62","5,49","22,55","29,82","0,44","2,94","1,52","2,89","0,10","3,51","-0,10","2,63","0,75","-0,63","2,32",31.Dec.2019,iShares € Corp Bond ex-Financials 1-5yr UCITS ETF EUR (Dist),"14,43","1,35","0,01","2,94","2,89","0,00",A,"6,33","236,09",-
IS0Y,iShares € Corp Bond Interest Rate Hedged UCITS ETF EUR (Dist),IE00B6X2VY59,"891.074.182,28",Ja,Irland,"0,25",-,22.Oct.2012,Anleihen,Unternehmensanleihen,Europa,EUR,Industrieländer,-,Weitere,- ,"9.228.809,00",Ja,Sampling,iShares V plc,ausschüttend,Bloomberg Barclays EUR Corporate Interest Rate Hedged Index,"96,55",17.Nov.2020,"129,01",Ja,Nein/Ja,3.00,-,17.Nov.2020,-,17.Nov.2020,"891,07",Y,Index Fonds,30.Sep.2020,"2,51","0,71","-1,36","0,71","0,23",31.Oct.2020,"-0,15","0,97","-0,24","0,38",-,"0,65",31.Oct.2020,"-0,79","3,87","-0,71","1,92",-,"5,37","0,95","5,64","1,61","0,12","0,22","2,99","-1,68","0,84","1,53","-3,65","4,00",31.Dec.2019,iShares € Corp Bond Interest Rate Hedged UCITS ETF EUR (Dist),"11,39","0,94","0,13","5,64","0,11","0,00",A,"6,90","134,61",-
IBCA,iShares € Govt Bond 1-3yr UCITS ETF EUR (Dist),IE00B14X4Q57,"1.268.804.169,85",Ja,Irland,"0,20",-,05.Jun.2006,Anleihen,Staatsanleihen,Europa,EUR,Industrieländer,-,Weitere,- ,"8.804.108,00",Ja,Sampling,iShares plc,ausschüttend,Bloomberg Barclays Euro Government Bond 1-3 Year Term Index,"144,12",17.Nov.2020,"178,59",Ja,Ja/Ja,2.00,-,17.Nov.2020,-,17.Nov.2020,"1.269,05",Y,Index Fonds,30.Sep.2020,"0,47","0,20","-0,91","1,09","-0,60",31.Oct.2020,"-0,25","0,28","-0,13","0,04","1,24","2,01",31.Oct.2020,"-0,07","0,51","-0,38","0,19","13,14","33,25","0,00","1,89","0,14","1,89","-0,58","1,35","0,83","0,33","0,05","-0,32","0,17",31.Dec.2019,iShares € Govt Bond 1-3yr UCITS ETF EUR (Dist),"10,58","1,47","-0,58","1,89","1,89","0,00",A,"5,84","4,22",-
EUN8,iShares € Govt Bond 10-15yr UCITS ETF EUR (Dist),IE00B4WXJH41,"105.059.485,55",Ja,Irland,"0,20",-,17.Apr.2009,Anleihen,Staatsanleihen,Europa,EUR,Industrieländer,-,Weitere,- ,"520.870,00",Ja,Sampling,iShares III plc,ausschüttend,Bloomberg Barclays Euro Government Bond 10-15 yr Term Index,"201,70",17.Nov.2020,"424,35",Ja,Ja/Ja,4.00,-,17.Nov.2020,-,17.Nov.2020,"105,06",Y,Index Fonds,30.Sep.2020,"10,78","-5,87","0,18","18,59","0,53",31.Oct.2020,"3,19","10,21","5,87","4,41","6,32","6,63",31.Oct.2020,"6,13","6,11","18,66","24,08","84,53","109,70","0,58","12,24","3,18","10,54","0,10","3,49","2,62","4,15","0,32","1,06","11,56",31.Dec.2019,iShares € Govt Bond 10-15yr UCITS ETF EUR (Dist),"10,58","1,47","0,10","12,24","10,54","0,00",BBB,"5,71","4,22",-
IBCL,iShares € Govt Bond 15-30yr UCITS ETF EUR (Dist),IE00B1FZS913,"460.768.448,89",Ja,Irland,"0,20",-,08.Dec.2006,Anleihen,Staatsanleihen,Europa,EUR,Industrieländer,-,Weitere,- ,"1.588.800,00",Ja,Sampling,iShares II plc,ausschüttend,Bloomberg Barclays Euro Government Bond 30 Year Term Index,"290,01",17.Nov.2020,"439,82",Ja,Ja/Ja,4.00,-,17.Nov.2020,-,17.Nov.2020,"460,77",Y,Index Fonds,30.Sep.2020,"16,63","-10,63","1,87","26,95","1,44",31.Oct.2020,"6,34","14,99","9,37","6,44","8,03","7,12",31.Oct.2020,"11,19","7,75","30,83","36,62","116,54","159,93","0,74","22,03","3,08","17,48","0,35","2,99","2,94","6,72","-1,14","3,11","15,55",31.Dec.2019,iShares € Govt Bond 15-30yr UCITS ETF EUR (Dist),"10,58","1,47","0,35","22,03","17,48","0,00",A,"6,01","4,22",-
IBCN,iShares € Govt Bond 3-5yr UCITS ETF EUR (Dist),IE00B1FZS681,"1.890.484.669,34",Ja,Irland,"0,20",-,08.Dec.2006,Anleihen,Staatsanleihen,Europa,EUR,Industrieländer,-,Weitere,- ,"10.784.150,00",Ja,Sampling,iShares II plc,ausschüttend,Bloomberg Barclays Euro Government Bond 5 Year Term Index,"175,30",17.Nov.2020,"222,69",Ja,Ja/Ja,2.00,-,17.Nov.2020,-,17.Nov.2020,"1.890,48",Y,Index Fonds,30.Sep.2020,"2,36","0,17","-0,57","4,12","-0,36",31.Oct.2020,"0,52","2,03","1,03","1,10","2,50","3,30",31.Oct.2020,"1,12","1,43","3,13","5,62","28,00","56,93","0,00","4,02","0,29","4,01","-0,55","1,44","1,35","1,53","0,50","0,63","1,71",31.Dec.2019,iShares € Govt Bond 3-5yr UCITS ETF EUR (Dist),"10,58","1,47","-0,55","4,02","4,01","0,00",A,"5,94","4,22",-
EUN9,iShares € Govt Bond 5-7yr UCITS ETF EUR (Dist),IE00B4WXJG34,"336.331.690,92",Ja,Irland,"0,20",-,17.Apr.2009,Anleihen,Staatsanleihen,Europa,EUR,Industrieländer,-,Weitere,- ,"2.026.700,00",Ja,Sampling,iShares III plc,ausschüttend,Bloomberg Barclays Euro Government Bond 5-7yr Term Index,"165,95",17.Nov.2020,"255,93",Ja,Ja/Ja,3.00,-,17.Nov.2020,-,17.Nov.2020,"336,33",Y,Index Fonds,30.Sep.2020,"4,62","-1,34","-0,97","8,20","0,00",31.Oct.2020,"1,42","4,37","2,27","1,98","3,22","3,60",31.Oct.2020,"2,58","2,77","6,98","10,30","37,34","50,46","0,14","5,95","0,98","5,81","-0,37","3,03","1,83","2,10","0,43","0,50","4,33",31.Dec.2019,iShares € Govt Bond 5-7yr UCITS ETF EUR (Dist),"10,58","1,47","-0,37","5,95","5,81","0,00",A,"5,86","4,22",-
IBCM,iShares € Govt Bond 7-10yr UCITS ETF EUR (Dist),IE00B1FZS806,"994.027.735,30",Ja,Irland,"0,20",-,08.Dec.2006,Anleihen,Staatsanleihen,Europa,EUR,Industrieländer,-,Weitere,- ,"4.280.340,00",Ja,Sampling,iShares II plc,ausschüttend,Bloomberg Barclays Euro Government Bond 10 Year Term Index,"232,23",17.Nov.2020,"309,30",Ja,Ja/Ja,3.00,-,17.Nov.2020,-,17.Nov.2020,"994,03",Y,Index Fonds,30.Sep.2020,"7,81","-2,68","0,19","11,82","0,06",31.Oct.2020,"2,07","6,23","3,72","3,23","5,02","5,34",31.Oct.2020,"4,01","3,62","11,58","17,24","63,27","105,96","0,09","8,49","0,79","8,27","-0,26","2,45","1,71","3,75","1,05","1,17","6,64",31.Dec.2019,iShares € Govt Bond 7-10yr UCITS ETF EUR (Dist),"10,58","1,47","-0,26","8,49","8,27","0,00",A,"5,99","4,22",-
IBCI,iShares € Inflation Linked Govt Bond UCITS ETF EUR (Acc),IE00B0M62X26,"1.416.660.767,23",Ja,Irland,"0,25",-,18.Nov.2005,Anleihen,Inflationsgeschützte Anleihen,Europa,EUR,Industrieländer,-,Weitere,- ,"6.352.172,00",Ja,Sampling,iShares plc,thesaurierend,Barclays Euro Government Inflation-Linked Bond Index,"223,02",17.Nov.2020,"230,18",Ja,Nein/Ja,3.00,-,17.Nov.2020,-,17.Nov.2020,"1.416,66",Y,Index Fonds,30.Sep.2020,"5,52","-1,52","0,74","7,17","-1,64",31.Oct.2020,"-0,15","3,54","1,88","1,75","1,78","2,36",31.Oct.2020,"0,85","5,49","5,74","9,05","19,33","41,63",-,"8,94","1,22","8,42","-0,18","1,18","0,74","3,57","1,20","-1,67","6,33",31.Dec.2019,iShares € Inflation Linked Govt Bond UCITS ETF EUR (Acc),"10,58","1,47","-0,93","8,94","8,42","0,00",BBB,"5,66","4,22",-
EUNH,iShares Core € Govt Bond UCITS ETF EUR (Dist),IE00B4WXJJ64,"4.019.164.348,09",Ja,Irland,"0,09",-,17.Apr.2009,Anleihen,Staatsanleihen,Europa,EUR,Industrieländer,Core Series,Weitere,- ,"29.664.113,00",Ja,Sampling,iShares III plc,ausschüttend,Bloomberg Barclays Euro Treasury Bond Index,"135,49",17.Nov.2020,"285,74",Ja,Ja/Ja,3.00,-,17.Nov.2020,-,17.Nov.2020,"4.053,53",Y,Index Fonds,30.Sep.2020,"6,74","-3,54","-0,11","11,48","0,56",31.Oct.2020,"2,70","6,43","3,81","2,88","4,16","4,32",31.Oct.2020,"4,59","3,85","11,87","15,23","50,33","62,83","0,47","10,39","2,15","8,79","-0,21","2,86","1,45","3,05","-0,01","0,80","6,70",31.Dec.2019,iShares Core € Govt Bond UCITS ETF EUR (Dist),"10,58","1,47","-0,21","10,39","8,79","0,00",A,"5,93","4,22",-
EUN6,iShares € Govt Bond 0-1yr UCITS ETF EUR (Dist),IE00B3FH7618,"158.534.979,82",Ja,Irland,"0,20",-,06.Mar.2009,Anleihen,Staatsanleihen,Europa,EUR,Industrieländer,-,Weitere,- ,"1.620.847,00",Ja,Sampling,iShares III plc,ausschüttend,Bloomberg Barclays Euro Short Treasury (0-12 Months) Bond Index,"97,81",17.Nov.2020,"121,62",Ja,Ja/Ja,1.00,-,17.Nov.2020,-,17.Nov.2020,"158,78",Y,Index Fonds,30.Sep.2020,"-0,34","-0,68","-0,73","-0,46","-0,62",31.Oct.2020,"-0,57","-0,55","-0,60","-0,57","0,01","0,11",31.Oct.2020,"-0,47","-0,17","-1,78","-2,82","0,15","1,35","0,00","0,58","2,81","0,58","-0,55","2,79","-0,19","-0,41","-0,75","-0,63","-0,57",31.Dec.2019,iShares € Govt Bond 0-1yr UCITS ETF EUR (Dist),"10,58","1,47","-0,55","0,58","0,58","0,00",A,"5,80","4,22",-
IFRB,iShares France Govt Bond UCITS ETF EUR (Dist),IE00B7LGZ558,"61.999.784,45",Ja,Irland,"0,20",-,08.May.2012,Anleihen,Staatsanleihen,Europa,EUR,Industrieländer,-,Frankreich,- ,"377.780,00",Ja,Sampling,iShares V plc,ausschüttend,Bloomberg Barclays France Treasury Bond Index,"164,12",17.Nov.2020,"284,21",Ja,Nein/Ja,3.00,-,17.Nov.2020,-,17.Nov.2020,"62,00",Y,Index Fonds,30.Sep.2020,"7,08","-3,77","0,99","9,25","0,47",31.Oct.2020,"2,62","4,95","3,44","2,68",-,"3,76",31.Oct.2020,"4,47","2,44","10,67","14,14",-,"36,70","0,02","11,04","1,98","9,38","-0,37","2,71","0,28","3,46","0,26","1,01","5,24",31.Dec.2019,iShares France Govt Bond UCITS ETF EUR (Dist),"0,00","0,00","-0,37","11,04","9,38","0,00",A,"5,82","4,22",-
IDEU,iShares Germany Govt Bond UCITS ETF EUR (Dist),IE00B5V94313,"586.807.428,15",Ja,Irland,"0,20",-,08.May.2012,Anleihen,Staatsanleihen,Europa,EUR,Industrieländer,-,Deutschland,- ,"3.931.899,00",Ja,Sampling,iShares V plc,ausschüttend,Bloomberg Barclays Germany Treasury Bond Index,"149,24",17.Nov.2020,"260,51",Ja,Nein/Ja,3.00,-,17.Nov.2020,-,17.Nov.2020,"586,81",Y,Index Fonds,30.Sep.2020,"6,03","-3,99","0,63","7,86","-0,76",31.Oct.2020,"1,59","3,61","2,61","1,94",-,"2,39",31.Oct.2020,"3,37","0,18","8,05","10,07",-,"22,17","0,00","9,58","1,48","8,45","-0,60","2,12","0,14","3,78","-1,53","2,21","2,88",31.Dec.2019,iShares Germany Govt Bond UCITS ETF EUR (Dist),"10,58","1,47","-0,60","9,58","8,45","0,00",AA,"7,31","4,22",-
IUS5,iShares Global Inflation Linked Govt Bond UCITS ETF USD (Acc),IE00B3B8PX14,"835.769.452,89",Ja,Irland,"0,25",-,01.Aug.2008,Anleihen,Inflationsgeschützte Anleihen,Global,USD,Industrieländer,-,Weitere,- ,"4.687.096,00",Ja,Sampling,iShares III plc,thesaurierend,Bloomberg Barclays World Government Inflation-Linked Bond Index,"178,31",17.Nov.2020,"371,14",Ja,Nein/Ja,4.00,-,17.Nov.2020,-,17.Nov.2020,"1.207,06",Y,Index Fonds,30.Sep.2020,"7,14","-0,28","-0,74","7,07","7,44",31.Oct.2020,"7,11","7,86","4,50","3,89","2,97","2,83",31.Oct.2020,"7,39","6,20","14,11","21,05","34,02","40,68",-,"12,90","0,87","12,18","0,48","0,96","-4,86","3,84","8,30","-4,27","7,97",31.Dec.2019,iShares Global Inflation Linked Govt Bond UCITS ETF USD (Acc),"0,00","0,00","-1,28","12,90","12,18","0,00",A,"6,26",-,-
IITB,iShares Italy Govt Bond UCITS ETF EUR (Dist),IE00B7LW6Y90,"1.265.920.988,38",Ja,Irland,"0,20",-,08.May.2012,Anleihen,Staatsanleihen,Europa,EUR,Industrieländer,-,Italien,- ,"7.188.561,00",Ja,Sampling,iShares V plc,ausschüttend,Bloomberg Barclays Italy Treasury Bond Index,"176,10",17.Nov.2020,"316,92",Ja,Nein/Ja,4.00,-,17.Nov.2020,-,17.Nov.2020,"1.266,72",Y,Index Fonds,30.Sep.2020,"5,69","-3,63","-3,82","17,64","1,65",31.Oct.2020,"3,73","10,82","4,55","3,15",-,"6,01",31.Oct.2020,"6,19","8,48","14,27","16,76",-,"63,95","1,16","9,34","3,00","7,65","0,33","3,46","4,62","0,55","0,53","-1,55","10,49",31.Dec.2019,iShares Italy Govt Bond UCITS ETF EUR (Dist),"10,58","1,47","0,33","9,34","7,65","0,00",BBB,"4,94","4,22",-
IS0P,iShares Spain Govt Bond UCITS ETF EUR (Dist),IE00B428Z604,"634.669.337,56",Ja,Irland,"0,20",-,08.May.2012,Anleihen,Staatsanleihen,Europa,EUR,Industrieländer,-,Spanien,- ,"3.484.868,00",Ja,Sampling,iShares V plc,ausschüttend,Bloomberg Barclays Spain Treasury Bond Index,"182,12",17.Nov.2020,"311,70",Ja,Nein/Ja,3.00,-,17.Nov.2020,-,17.Nov.2020,"642,47",Y,Index Fonds,30.Sep.2020,"8,43","-2,46","2,14","11,51","0,32",31.Oct.2020,"1,99","6,44","4,59","3,75",-,"6,34",31.Oct.2020,"3,51","4,93","14,41","20,19",-,"68,39","0,50","10,44","2,73","8,64","-0,05","3,50","1,45","4,00","0,90","2,41","8,38",31.Dec.2019,iShares Spain Govt Bond UCITS ETF EUR (Dist),"10,58","1,47","-0,05","10,44","8,64","0,00",BBB,"5,11","4,22",-
EUNX,iShares US Aggregate Bond UCITS ETF USD (Dist),IE00B44CGS96,"1.012.617.130,20",Ja,Irland,"0,25",-,13.Sep.2011,Anleihen,Mehrere Sektoren,Nordamerika,USD,Industrieländer,-,Vereinigte Staaten von Amerika,- ,"9.053.623,00",Ja,Sampling,iShares II plc,ausschüttend,Bloomberg Barclays US Aggregate Bond Index,"111,85",17.Nov.2020,"2.378,46",Ja,Nein/Ja,3.00,-,17.Nov.2020,-,17.Nov.2020,"3.557,28",Y,Index Fonds,30.Sep.2020,"4,80","-0,20","-1,52","9,93","6,67",31.Oct.2020,"5,86","8,49","4,74","3,75",-,"3,09",31.Oct.2020,"6,05","1,12","14,92","20,23",-,"31,99","2,06","7,86","3,17","5,93","1,13","2,90","0,31","2,24","3,26","-0,29","8,39",31.Dec.2019,iShares US Aggregate Bond UCITS ETF USD (Dist),"15,05","1,28","1,11","7,86","5,95","0,00",A,"6,14","244,61",-
EUN3,iShares Global Govt Bond UCITS ETF USD (Dist),IE00B3F81K65,"1.122.154.650,22",Ja,Irland,"0,20",-,06.Mar.2009,Anleihen,Staatsanleihen,Global,USD,Industrieländer,-,Weitere,- ,"9.426.157,00",Ja,Sampling,iShares III plc,ausschüttend,FTSE G7 Government Bond Index,"119,05",17.Nov.2020,"1.044,44",Ja,Ja/Ja,4.00,-,17.Nov.2020,-,17.Nov.2020,"2.007,50",Y,Index Fonds,30.Sep.2020,"9,81","-3,79","-1,85","8,72","6,41",31.Oct.2020,"5,76","7,87","4,40","3,69","1,44","2,77",31.Oct.2020,"6,89","2,42","13,78","19,86","15,38","37,52","1,01","10,47","1,84","8,81","0,27","1,97","-2,54","1,58","6,08","-0,54","5,65",31.Dec.2019,iShares Global Govt Bond UCITS ETF USD (Dist),"0,00","0,00","0,27","10,47","8,81","0,00",A,"6,28",-,-
EXSB,iShares DivDAX® UCITS ETF (DE),DE0002635273,"472.518.631,79",Ja,Deutschland,"0,31",-,04.Apr.2005,Aktien,Large Caps,Europa,EUR,Industrieländer,Aktien Dividende,Deutschland,- ,"27.400.000,00",Nein,Replikation,BlackRock Asset Management Deutschland AG,ausschüttend,DivDAX®,"17,25",17.Nov.2020,"350,54",Ja,Nein,6.00,-,17.Nov.2020,"17,60",17.Nov.2020,"472,52",Y,Index Fonds,30.Sep.2020,"10,47","24,80","-5,90","2,96","-0,76",31.Oct.2020,"-12,99","-0,42","-4,90","1,82","5,85","6,26",31.Oct.2020,"-14,58","8,76","-13,98","9,44","76,58","157,31","2,27","0,00","0,00","0,00","0,00","0,00","2,73","11,58","13,61","-16,55","23,10",31.Dec.2019,iShares DivDAX® UCITS ETF (DE),"10,90","1,45","0,02","0,00","0,00","54.188,58",A,"6,36","463,10",-
EXXW,iShares Dow Jones Asia Pacific Select Dividend 50 UCITS ETF (DE),DE000A0H0744,"222.154.055,53",Ja,Deutschland,"0,31",-,27.Mar.2006,Aktien,Alle Kapitalisierungen,Asien-Pazifik,EUR,Industrieländer,Aktien Dividende,Weitere,- ,"9.975.000,00",Nein,Replikation,BlackRock Asset Management Deutschland AG,ausschüttend,Dow Jones Asia/Pacific Select Dividend 50 Index,"22,27",17.Nov.2020,"689,61",Ja,Nein,6.00,-,17.Nov.2020,"22,72",17.Nov.2020,"222,15",Y,Index Fonds,30.Sep.2020,"29,64","4,54","-2,19","9,89","-26,17",31.Oct.2020,"-26,09","-8,48","-8,10","-0,31","3,24","3,77",31.Oct.2020,"-26,17","-3,90","-22,40","-1,56","37,59","71,60","5,26","0,00","0,00","0,00","0,00","0,01","-6,46","24,37","2,38","-10,69","16,73",31.Dec.2019,iShares Dow Jones Asia Pacific Select Dividend 50 UCITS ETF (DE),"9,33","0,66","-0,01","0,00","0,00","16.452,65",A,"6,59","395,96",-
EXXU,iShares Dow Jones China Offshore 50 UCITS ETF (DE),DE000A0F5UE8,"92.165.647,20",Ja,Deutschland,"0,61",-,27.Mar.2006,Aktien,Large Caps,Asien-Pazifik,USD,Schwellenländer,-,China,- ,"1.350.000,00",Nein,Replikation,BlackRock Asset Management Deutschland AG,ausschüttend,DJ China Offshore 50SM,"68,27",17.Nov.2020,"11.756,39",Ja,Nein,6.00,-,17.Nov.2020,"69,64",17.Nov.2020,"92,17",Y,Index Fonds,30.Sep.2020,"21,21","27,09","-2,10","-5,57","27,78",31.Oct.2020,"29,17","19,42","6,77","11,06","6,05","9,38",31.Oct.2020,"18,32","25,61","21,72","68,96","79,94","269,79","1,37","0,00","0,00","0,00","0,00","0,00","-7,95","1,53","45,79","-18,34","22,07",31.Dec.2019,iShares Dow Jones China Offshore 50 UCITS ETF (DE),"15,34","1,65","0,01","0,00","0,00","228.329,93",BBB,"4,42","107,57",-
EUNY,iShares EM Dividend UCITS ETF USD (Dist),IE00B652H904,"320.423.830,20",Ja,Irland,"0,65",-,25.Nov.2011,Aktien,Alle Kapitalisierungen,Global,USD,Schwellenländer,Aktien Dividende,Weitere,- ,"17.179.798,00",Ja,Optimierung,iShares V plc,ausschüttend,Dow Jones Emerging Markets Select Dividend Index,"18,65",17.Nov.2020,"2.915,57",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"320,42",Y,Index Fonds,30.Sep.2020,"20,88","20,66","-0,55","1,57","-15,03",31.Oct.2020,"-17,35","-5,64","-5,30","3,16",-,"0,10",31.Oct.2020,"-22,84","-0,53","-15,08","16,86",-,"0,88","5,38","0,00","0,13","0,00","0,01",-,"-24,45","20,26","25,57","-6,01","14,87",31.Dec.2019,iShares EM Dividend UCITS ETF USD (Dist),"6,71","0,98","0,01","0,00","0,00","13.976,51",BB,"4,05","516,36",-
IUSK,iShares MSCI Europe SRI UCITS ETF EUR (Acc),IE00B52VJ196,"2.221.789.317,77",Ja,Irland,"0,20",-,25.Feb.2011,Aktien,Large Caps,Europa,EUR,Industrieländer,Nachhaltige Strategien,Weitere,- ,"44.850.525,00",Ja,Optimierung,iShares II plc,thesaurierend,MSCI Europe SRI Select Reduced Fossil Fuel Index,"49,54",17.Nov.2020,"2.541,98",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"2.553,81",Y,Index Fonds,30.Sep.2020,"1,53","13,81","3,57","9,67","1,09",31.Oct.2020,"-6,22","5,17","2,01","2,98",-,"5,98",31.Oct.2020,"-10,25","3,34","6,14","15,83",-,"75,44",-,"0,00","0,00","0,00","0,00",-,"8,45","0,09","11,13","-7,21","29,63",31.Dec.2019,iShares MSCI Europe SRI UCITS ETF EUR (Acc),"19,90","2,42","0,01","0,00","0,00","64.447,48",AAA,"9,08","59,11",ESG Broad
IUSL,iShares Dow Jones Global Sustainability Screened UCITS ETF USD (Acc),IE00B57X3V84,"357.691.161,01",Ja,Irland,"0,60",-,25.Feb.2011,Aktien,Large Caps,Global,USD,Industrieländer,Nachhaltige Strategien,Weitere,- ,"7.200.000,00",Ja,Replikation,iShares II plc,thesaurierend,"Dow Jones Sustainability World Enlarged Index ex Alcohol, Tobacco, Gambling, Armaments & Firearms and Adult Entertainment","49,68",17.Nov.2020,"2.449,83",Ja,Nein/Ja,6.00,-,17.Nov.2020,-,17.Nov.2020,"357,69",Y,Index Fonds,30.Sep.2020,"10,63","19,57","8,53","1,90","9,92",31.Oct.2020,"2,59","7,81","4,57","7,41",-,"6,00",31.Oct.2020,"-3,45","9,84","14,36","42,97",-,"75,72",-,"0,00","0,04","0,00","0,00",-,"-4,25","7,82","22,45","-8,61","26,28",31.Dec.2019,iShares Dow Jones Global Sustainability Screened UCITS ETF USD (Acc),"20,86","2,38","0,01","0,00","0,00","299.570,51",AA,"7,99","138,51",ESG Broad
EXI2,iShares Dow Jones Global Titans 50 UCITS ETF (DE),DE0006289382,"733.370.302,79",Ja,Deutschland,"0,51",-,14.Aug.2001,Aktien,Large Caps,Global,EUR,Industrieländer,-,Weitere,- ,"15.910.000,00",Nein,Optimierung,BlackRock Asset Management Deutschland AG,ausschüttend,DJ Global Titans 50SM,"46,09",17.Nov.2020,"948,16",Ja,Nein,6.00,-,17.Nov.2020,"47,01",17.Nov.2020,"733,37",Y,Index Fonds,30.Sep.2020,"14,76","11,02","18,72","10,21","12,35",31.Oct.2020,"7,87","11,46","10,68","10,24","12,12","3,68",31.Oct.2020,"1,36","4,52","35,59","62,85","214,03","100,32","1,14","0,00","0,03","0,00","0,00","0,00","11,36","12,74","6,11","-0,59","34,54",31.Dec.2019,iShares Dow Jones Global Titans 50 UCITS ETF (DE),"28,20","5,04","-0,01","0,00","0,00","651.924,12",AA,"7,67","42,93",-
EXI3,iShares Dow Jones Industrial Average UCITS ETF (DE),DE0006289390,"246.127.033,43",Ja,Deutschland,"0,51",-,19.Sep.2001,Aktien,Large Caps,Nordamerika,USD,Industrieländer,-,Vereinigte Staaten von Amerika,- ,"830.000,00",Nein,Replikation,BlackRock Asset Management Deutschland AG,ausschüttend,Dow Jones Industrial Average,"296,54",17.Nov.2020,"68.688,96",Ja,Nein,6.00,-,17.Nov.2020,"302,47",17.Nov.2020,"246,13",Y,Index Fonds,30.Sep.2020,"13,93","23,85","19,29","2,95","4,53",31.Oct.2020,"-0,76","3,99","5,53","9,76","10,42","7,30",31.Oct.2020,"-6,20","9,44","17,54","59,30","169,41","284,35","1,07","0,00","0,04","0,00","0,00","0,00","-0,92","13,76","26,50","-5,71","25,22",31.Dec.2019,iShares Dow Jones Industrial Average UCITS ETF (DE),"22,69","4,00","0,01","0,00","0,00","332.472,32",A,"6,83","37,97",-
